['834174'],['21'],['8121'],['null'],['0'],['1'],['1647055252'],[],[]
['834175'],['21'],"['8485', '8485', '8485']","['21362', '21363', '21364']","['2', '2', '2']","['3', '2', '2']","['1647055204', '1647055232', '1647055252']",[],[]
['834176'],['21'],"['8136', '8136', '8136']","['20973', '14880', '14881']","['0', '1', '1']","['1', '1', '1']","['1647055204', '1647055232', '1647055252']",[],[]
['834965'],['22'],"['8270', '8270', '8270']","['15613', '28399', '17112']","['-2', '-2', '-2']","['-1', '-1', '-1']","['1647055204', '1647055213', '1647055251']",[],[1]
['834994'],['22'],"['8216', '8216']","['16925', '17201']","['0', '-1']","['0', '0']","['1647055241', '1647055251']",[],[1]
['835020'],['22'],"['8602', '8602']","['16709', '16710']","['1', '0']","['2', '1']","['1647055204', '1647055251']",[],[]
['835313'],['23'],"['3225', '3225']","['16129', '16130']","['3', '2']","['3', '3']","['1647055241', '1647055251']",[],[]
['835314'],['23'],['3227'],['18582'],['14'],['14'],['1647055251'],[],[]
['835315'],['23'],['0'],['null'],['999'],['999'],['1647055251'],[1],[]
['835391'],['23'],['0'],['null'],['999'],['999'],['1647055251'],[1],[]
['835392'],['23'],['3329'],['17047'],['-1'],['0'],['1647055251'],[],[]
['835393'],['23'],"['3337', '3337', '3337']","['16850', '16851', '16852']","['3', '3', '2']","['3', '3', '3']","['1647055204', '1647055231', '1647055251']",[],[]
['836387'],['25'],"['3139', '3139']","['23983', '30892']","['0', '0']","['0', '0']","['1647055241', '1647055251']",[],[1]
['836388'],['25'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['836389'],['25'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['836406'],['25'],"['3151', '3151']","['24019', '17768']","['22', '23']","['23', '23']","['1647055203', '1647055251']",[],[]
['836720'],['26'],"['8622', '8622', '8622']","['15822', '15697', '15698']","['1', '1', '1']","['2', '1', '1']","['1647055204', '1647055241', '1647055251']",[],[]
['836721'],['26'],['8636'],['null'],['-4'],['-4'],['1647055251'],[],[1]
