"","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"59",9207,2350,0,0.255240577821223,0,100.733333333333,0
"60",16241,5851,35,0.360261067668247,0.00215503971430331,67.6333333333333,15.6
"61",16056,4540,16,0.28276033881415,0.000996512207274539,46.2666666666667,8
"62",793,395,1,0.498108448928121,0.00126103404791929,50.15,0
"64",19660,6568,7,0.334079348931841,0.000356052899287894,49.0166666666667,1.4
"65",22606,6553,72,0.289878793240733,0.00318499513403521,70.2833333333333,21.4
"66",21410,7142,36,0.333582438113031,0.00168145726296123,114.65,19.9666666666667
"67",20090,5506,1,0.274066699850672,4.97760079641613e-05,120.566666666667,0
"68",6864,2266,0,0.330128205128205,0,119.766666666667,0
"70",22781,6498,11,0.285237698081735,0.000482858522452921,28.5666666666667,2.4
"73",8120,1387,1,0.170812807881773,0.000123152709359606,54.3,0
"75",8118,2114,24,0.260408967726041,0.00295639320029564,16.3166666666667,9.25
"77",5080,1794,0,0.353149606299213,0,6.58333333333333,0
"78",25,2,0,0.08,0,2,0
"79",10413,2480,0,0.238163833669452,0,61.4,0
"80",352,76,0,0.215909090909091,0,2.7,0
"84",16991,5199,0,0.305985521746807,0,55.2666666666667,0
"88",9368,2142,0,0.22865072587532,0,21.1,0
"89",12794,3416,0,0.267000156323277,0,80.4166666666667,0
"BLVDDIR",3293,952,25,0.289098086850896,0.00759186152444579,6.31666666666667,8.75
"G",38854,10957,279,0.282004426828641,0.00718072785298811,197.766666666667,139.183333333333
"H",18635,5698,59,0.305768714784009,0.00316608532331634,5.25,23.5166666666667
"J",12510,3570,0,0.28537170263789,0,41.1833333333333,0
"K",27910,9265,31,0.331959871013974,0.00111071300609101,83.45,5.96666666666667
"L",23477,5919,8,0.252119095284747,0.0003407590407633,42.4666666666667,5.86666666666667
"R",22998,8584,0,0.373249847812853,0,277.083333333333,0
"XH",15863,6549,14,0.412847506776776,0.000882556893399735,163.366666666667,3.03333333333333
"10",14143,4630,42,0.327370430601711,0.00296966697306088,46.0666666666667,13.7333333333333
"15",25355,9652,33,0.380674423190692,0.00130151843817787,231.783333333333,15.5333333333333
"204",2360,269,0,0.113983050847458,0,4.33333333333333,0
"310",1282,331,0,0.258190327613105,0,54.5833333333333,0
"311",1305,673,0,0.515708812260536,0,70.8333333333333,0
"312",1,0,0,0,0,0,0
"LUCYGO",965,97,0,0.100518134715026,0,14.5,0
"LUCYGR",846,101,0,0.119385342789598,0,0,0
"11",13097,9142,51,0.69802244788883,0.00389402153164847,0,0
"13",14417,4717,26,0.327183186515919,0.0018034265103697,0,0
"34",9180,2914,29,0.317429193899782,0.00315904139433551,0,0
"36",16933,6210,22,0.366739502746117,0.0012992381739798,0,0
"90",2691,1140,1,0.423634336677815,0.000371609067261241,8.78333333333333,0.2
"92",2372,261,0,0.110033726812816,0,0,0
"93",7287,1694,0,0.232468780019212,0,19.6,0
"94",2452,491,0,0.200244698205546,0,5.36666666666667,0
"95",2988,842,0,0.281793842034806,0,15.65,0
"96",6155,1703,6,0.276685621445979,0.000974817221770918,36.0166666666667,3.9
"97",5102,1659,0,0.325166601332811,0,40.95,0
"98",3567,728,2,0.204093075413513,0.000560695262125035,4.81666666666667,0.25
"99",6523,1758,1,0.269507895140273,0.00015330369461904,9.91666666666667,0.5
"124",5016,1151,18,0.229465709728868,0.00358851674641148,11.1,12.9833333333333
"127",2527,591,3,0.233874159081915,0.00118717847249703,27.3333333333333,2.91666666666667
"128",2558,233,0,0.0910867865519937,0,26.9333333333333,0
"129",6820,1840,100,0.269794721407625,0.0146627565982405,117.75,61.6666666666667
"130",4057,765,180,0.188562977569633,0.0443677594281489,70.1666666666667,170
"131",2695,657,3,0.24378478664193,0.00111317254174397,29.1,1.4
"132",2753,565,0,0.205230657464584,0,82.6833333333333,0
"133",379,47,0,0.12401055408971,0,1.1,0
"135",3578,352,0,0.0983789826718837,0,27.5,0
"139",2536,750,3,0.295741324921136,0.00118296529968454,6.48333333333333,2.65
"150",90,1,0,0.0111111111111111,0,0,0
"201",509,26,0,0.0510805500982318,0,0,0
"206",694,240,0,0.345821325648415,0,2.46666666666667,0
"101",4694,961,6,0.204729441840648,0.00127822752449936,15.7333333333333,5.2
"102",3708,1069,12,0.288295577130529,0.00323624595469256,13.9333333333333,6.61666666666667
"103",3008,693,1,0.230385638297872,0.000332446808510638,3.6,0.683333333333333
"104",15153,5879,4,0.387975978354121,0.000263974130535208,444.55,1.55
"105",3281,529,0,0.161231331911003,0,0,0
"106",4463,951,0,0.213085368586153,0,29.5666666666667,0
"107",4011,1458,2,0.363500373971578,0.00049862877088008,140.683333333333,0.816666666666667
"108",17982,3758,29,0.20898676454232,0.00161272383494606,145.266666666667,19.35
"109",13344,2577,161,0.193120503597122,0.0120653477218225,42.8,211.1
"110",6793,2051,6,0.301928455763286,0.000883262181657589,121.533333333333,2.6
"111",5823,1668,4,0.286450283359093,0.000686931135153701,105,1.6
"112",2902,1059,2,0.364920744314266,0.000689179875947622,100.8,2.23333333333333
"113",21263,3642,253,0.17128345012463,0.0118986032074496,66.0166666666667,108.45
"114",9879,2080,5,0.210547626277963,0.00050612410162972,44.0333333333333,3.83333333333333
"115",6877,2169,0,0.315399156608986,0,334.066666666667,0
"117",8498,2333,2,0.274535184749353,0.000235349493998588,35.1166666666667,0
"118",2613,455,10,0.174129353233831,0.00382701875239189,7.5,5.41666666666667
"119",4145,677,0,0.163329312424608,0,90.6,0
"120",2414,458,2,0.189726594863297,0.000828500414250207,56.0833333333333,2.7
"123",3159,307,0,0.0971826527382083,0,6.06666666666667,0
"125",5256,1175,9,0.22355403348554,0.00171232876712329,63.3166666666667,6.28333333333333
"126",2750,286,0,0.104,0,5.56666666666667,0
