[818136],['109'],"['3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255', '3255']","['19897', '19898', '19899', '19900', '14832', '19901', '19902', '19904', '20022', '19905', '19907', '19908', '14833', '19910', '19246', '19247', '19913', '19914', '19916', '19917', '19174', '31863', '19177', '19178', '2047', '30415', '19930', '14837', '19931', '19933', '19934', '19978', '19935', '29789', '19937', '19938', '19939', '19943', '19944', '19945', '2049', '19949', '19952', '31868', '31870', '19954']","['4', '4', '4', '5', '5', '5', '5', '5', '4', '4', '5', '5', '4', '4', '6', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']","['4', '4', '4', '5', '5', '5', '5', '5', '4', '4', '5', '5', '4', '4', '6', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']","[1649649024, 1649649052, 1649649104, 1649649132, 1649649192, 1649649203, 1649649223, 1649649242, 1649649274, 1649649284, 1649649314, 1649649334, 1649649362, 1649649404, 1649649521, 1649649551, 1649649591, 1649649692, 1649649744, 1649649792, 1649649902, 1649649911, 1649649944, 1649649961, 1649650022, 1649650082, 1649650222, 1649650291, 1649650303, 1649650361, 1649650371, 1649650381, 1649650401, 1649650411, 1649650421, 1649650454, 1649650472, 1649650513, 1649650542, 1649650562, 1649650582, 1649650634, 1649650662, 1649650672, 1649650701, 1649650714]",[],[]
[818151],['109'],['0'],['null'],['999'],['999'],[1649650714],[1],[]
[818711],['110'],['0'],['null'],['998'],['998'],[1649649173],[],[]
[819130],['111'],"['8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368', '8368']","['14852', '29810', '15118', '15117', '18986', '15114', '15115', '29917', '15113', '15112', '15109', '15108', '15107', '15106', '15105', '13374', '13442', '2066', '15095', '15096', '15102', '15097', '18828']","['1', '1', '1', '1', '1', '1', '2', '2', '2', '2', '2', '2', '2', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['1', '1', '1', '1', '1', '1', '2', '2', '2', '2', '2', '2', '2', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","[1649649262, 1649649274, 1649649314, 1649649334, 1649649381, 1649649404, 1649649433, 1649649471, 1649649503, 1649649541, 1649649561, 1649649581, 1649649591, 1649649612, 1649649622, 1649649642, 1649649652, 1649649692, 1649649732, 1649649753, 1649649772, 1649649832, 1649649833]",[],[]
[820143],['113'],['0'],['null'],['998'],['998'],[1649650714],[],[]
[820147],['113'],"['3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263', '3263']","['24961', '14785', '30383', '20402', '31573', '29904', '32287', '20199', '31152', '20201', '29927', '31534', '20204', '20205', '26289', '31910', '26291', '26292', '26294']","['4', '4', '5', '5', '5', '6', '5', '5', '5', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']","['4', '4', '5', '5', '5', '6', '5', '5', '5', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']","[1649649163, 1649649284, 1649649362, 1649649431, 1649649461, 1649649491, 1649649503, 1649649521, 1649649541, 1649649591, 1649649642, 1649649652, 1649649692, 1649649712, 1649649772, 1649649792, 1649649802, 1649649813, 1649649833]",[],[]
[820189],['113'],"['3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488', '3488']","['20300', '20303', '20309', '2097', '20311', '20313', '20315', '20318', '20321', '20323', '20325', '20326', '20331', '20332', '20333', '2098', '9933', '9948', '20339', '20340', '30787', '30358', '20348', '20351', '20352', '20354', '20356', '20357', '20358', '30597', '31874', '19783', '2100', '19785', '19786', '19788', '19789', '2043', '19790', '19791', '20359', '20360', '20361', '20362', '20364', '20365', '20366', '19719', '19721']","['4', '4', '5', '5', '4', '5', '5', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']","['4', '4', '5', '5', '4', '5', '5', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']","[1649649052, 1649649084, 1649649203, 1649649274, 1649649314, 1649649362, 1649649391, 1649649481, 1649649503, 1649649521, 1649649551, 1649649581, 1649649642, 1649649672, 1649649692, 1649649712, 1649649732, 1649649753, 1649649792, 1649649802, 1649649871, 1649649902, 1649649911, 1649649921, 1649649924, 1649649934, 1649649991, 1649650011, 1649650022, 1649650063, 1649650102, 1649650174, 1649650222, 1649650281, 1649650291, 1649650303, 1649650341, 1649650371, 1649650384, 1649650401, 1649650442, 1649650472, 1649650512, 1649650523, 1649650562, 1649650602, 1649650613, 1649650701, 1649650714]",[],[]
[820205],['113'],['0'],['null'],['998'],['998'],[1649649372],[],[]
[820214],['113'],"['3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256', '3256']","['25013', '25014', '31530', '29910', '25017', '25018', '25019', '25021', '25022', '25024', '31149', '31050', '31051', '26470', '31919', '30381', '20271', '31531', '20274', '29923', '20275', '31151', '20277', '32289', '32290', '20280', '14785', '24871', '30382', '24874', '24961', '20417', '31532', '20296', '29925', '20300', '20303', '20306', '20308', '20309', '2097']","['3', '3', '3', '3', '4', '4', '4', '4', '4', '4', '5', '5', '5', '6', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5']","['3', '3', '3', '3', '4', '4', '4', '4', '4', '4', '5', '5', '5', '6', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5', '5']","[1649649114, 1649649203, 1649649223, 1649649242, 1649649262, 1649649274, 1649649324, 1649649372, 1649649381, 1649649402, 1649649471, 1649649503, 1649649541, 1649649551, 1649649581, 1649649612, 1649649622, 1649649692, 1649649712, 1649649732, 1649649772, 1649649792, 1649649832, 1649649842, 1649649853, 1649649902, 1649650133, 1649650174, 1649650202, 1649650222, 1649650272, 1649650321, 1649650411, 1649650421, 1649650482, 1649650512, 1649650523, 1649650602, 1649650612, 1649650652, 1649650714]",[],[]
[820999],['115'],"['8352', '8352', '8352', '8352']","['1160', '17105', '633', '19549']","['0', '0', '0', '0']","['0', '0', '0', '0']","[1649650292, 1649650384, 1649650542, 1649650714]",[],[]
