['649386'],['15'],"['8089', '8089', '8089', '8089', '8089', '8089', '8089']","['21044', '31443', '21047', '349', '21056', '30605', '350']","['1', '4', '5', '4', '2', '-1', '-1']","['1', '5', '5', '3', '1', '-1', '-1']","['1644376994', '1644377233', '1644377354', '1644377475', '1644377592', '1644377714', '1644377834']",[]
['649392'],['15'],"['8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136']","['21044', '349', '21051', '21055', '30605', '21060', '350', '30292', '21067', '21071', '21075', '21080', '352', '21087', '21093', '20978', '31540']","['2', '2', '2', '1', '0', '1', '0', '-1', '-2', '0', '-2', '-2', '-2', '-1', '-3', '-4', '-5']","['3', '2', '2', '2', '1', '1', '1', '0', '-1', '0', '-1', '-1', '-2', '-2', '-4', '-4', '-4']","['1644375912', '1644376034', '1644376152', '1644376274', '1644376394', '1644376512', '1644376633', '1644376752', '1644376873', '1644376994', '1644377115', '1644377233', '1644377354', '1644377475', '1644377592', '1644377714', '1644377834']",[]
['649393'],['15'],"['8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149']","['21044', '21048', '349', '21053', '21056', '30605', '21061', '350', '30292', '21067', '21071', '21078', '21081', '352', '21087', '21093', '21095', '20978', '31540', '31347', '21100', '22033', '15044', '341', 'null']","['1', '3', '2', '2', '1', '1', '1', '2', '0', '-1', '-1', '-2', '-3', '-2', '-2', '-2', '-1', '-2', '-3', '-2', '-1', '0', '2', '1', '0']","['1', '3', '2', '2', '2', '1', '1', '1', '2', '-1', '-1', '-2', '-2', '-2', '-3', '-2', '-2', '-7', '-6', '-3', '-1', '-1', '1', '1', '1']","['1644373372', '1644373496', '1644373616', '1644373733', '1644373863', '1644373984', '1644374105', '1644374225', '1644374345', '1644374466', '1644374585', '1644374705', '1644374824', '1644374945', '1644375065', '1644375184', '1644375305', '1644375425', '1644375545', '1644375665', '1644375794', '1644375912', '1644376394', '1644376633', '1644377834']",[]
['649394'],['15'],"['8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074']","['21044', '31443', '21048', '21053', '30605', '21062', '30292', '21067', '21068', '21071', '21078', '21080', '352', '21086', '21090', '21095', '21096', '24038', '24039', '23992', '21100', '21103', '15044', '341', 'null']","['1', '3', '3', '2', '1', '-1', '-3', '-4', '-3', '-3', '-3', '-4', '-2', '0', '1', '2', '2', '3', '4', '4', '4', '6', '8', '8', '-2']","['1', '3', '3', '2', '1', '-1', '0', '-3', '-3', '-2', '-3', '-2', '-2', '0', '1', '2', '2', '-1', '0', '3', '5', '5', '7', '7', '8']","['1644372173', '1644372293', '1644372532', '1644372652', '1644372772', '1644372893', '1644373017', '1644373136', '1644373253', '1644373372', '1644373496', '1644373616', '1644373733', '1644373863', '1644374105', '1644374225', '1644374345', '1644374585', '1644374705', '1644374824', '1644374945', '1644375065', '1644375545', '1644375794', '1644376512']",[]
['649395'],['15'],"['8089', '8089', '8089', '8089', '8089', '8089', '8089']","['24038', '31347', '21101', '22033', '15044', '341', 'null']","['-4', '-3', '-2', '-2', '-2', '14', '0']","['-4', '-3', '-3', '-2', '-2', '-2', '-2']","['1644370735', '1644370856', '1644370972', '1644371092', '1644371452', '1644372416', '1644372772']",[]
['649396'],['15'],"['8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137']","['31443', '21048', '21051', '21055', '21058', '21060', '21062', '30292', '21067', '21068', '21072', '21078', '21082', '352', '21090', '21093', '21095', '31540', '31347', '21100', '21101', '22033', '15044', '341']","['2', '2', '2', '2', '1', '1', '0', '0', '1', '0', '0', '-1', '-1', '-1', '1', '1', '-1', '0', '-1', '1', '1', '3', '4', '5']","['2', '3', '2', '2', '1', '1', '1', '1', '1', '0', '1', '0', '-1', '0', '0', '1', '0', '-4', '-1', '1', '1', '2', '2', '4']","['1644374705', '1644374824', '1644374945', '1644375065', '1644375184', '1644375305', '1644375425', '1644375545', '1644375665', '1644375794', '1644375912', '1644376034', '1644376152', '1644376274', '1644376394', '1644376512', '1644376633', '1644376752', '1644376873', '1644376994', '1644377115', '1644377233', '1644377714', '1644377834']",[]
['649397'],['15'],"['8136', '8136']","['341', 'null']","['0', '0']","['-2', '-2']","['1644371692', '1644371812']",[]
['649398'],['15'],['8146'],['null'],['0'],['3'],['1644370856'],[]
['649399'],['15'],"['8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154']","['21056', '21061', '350', '30292', '21067', '21070', '21075', '21078', '21082', '352', '21087', '21091', '21095', '20978', '31540', '24039', '21098', '22033', '15044', '341', 'null']","['0', '-1', '-1', '-2', '-2', '-4', '-4', '-4', '-5', '-5', '-4', '-5', '-5', '-6', '-5', '-4', '-3', '-3', '-3', '-33', '-4']","['0', '-1', '-1', '-1', '-3', '-3', '-5', '-5', '-5', '-5', '-4', '-4', '-9', '-7', '-5', '-4', '-4', '-4', '-4', '-4', '-4']","['1644370735', '1644370856', '1644370972', '1644371092', '1644371337', '1644371452', '1644371575', '1644371692', '1644371812', '1644371932', '1644372056', '1644372173', '1644372293', '1644372416', '1644372532', '1644372652', '1644372772', '1644372893', '1644373253', '1644373372', '1644374945']",[]
['649400'],['15'],"['8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076']","['21078', '21082', '352', '21087', '21091', '21095', '20978', '31540', '24039', '21098', '22033', '15044', '341', 'null']","['-9', '-12', '-12', '-12', '-12', '-11', '-11', '-11', '-12', '0', '0', '0', '0', '-13']","['-9', '-12', '-14', '-13', '-12', '-12', '-11', '-11', '-12', '-13', '-13', '-13', '-13', '-13']","['1644370735', '1644370856', '1644370972', '1644371092', '1644371216', '1644371337', '1644371452', '1644371575', '1644371692', '1644371812', '1644371932', '1644372293', '1644372416', '1644373372']",[]
